iter	Passed	Remaining
211	9325	12668
212	9374	12631
213	9411	12577
214	9421	12489
215	9473	12455
216	9524	12421
217	9576	12387
218	9628	12354
219	9667	12304
220	9717	12267
221	9769	12233
222	9807	12182
223	9857	12145
224	9907	12109
225	9957	12072
226	10007	12035
227	10057	11998
228	10109	11963
229	10159	11926
230	10196	11873
231	10246	11836
232	10298	11801
233	10334	11747
234	10345	11665
235	10396	11630
236	10447	11593
237	10496	11555
238	10547	11518
239	10598	11481
240	10650	11445
241	10702	11410
242	10752	11371
243	10802	11333
244	10838	11281
245	10847	11200
246	10861	11125
247	10911	11087
248	10962	11050
249	11013	11013
250	11021	10933
251	11071	10895
252	11122	10858
253	11173	10821
254	11179	10741
255	11190	10666
256	11242	10629
257	11250	10552
258	11301	10515
259	11351	10478
260	11402	10441
261	11410	10365
262	11460	10327
263	11511	10290
264	11518	10214
265	11568	10176
266	11591	10115
267	11644	10080
268	11697	10045
269	11736	9997
270	11752	9931
271	11805	9895
272	11859	9861
273	11912	9825
274	11923	9755
275	11974	9718
276	12025	9681
277	12040	9615
278	12090	9577
279	12100	9507
280	12109	9438
281	12163	9402
282	12218	9369
283	12273	9335
284	12329	9301
285	12342	9235
286	12396	9200
287	12408	9134
288	12416	9065
289	12465	9026
290	12515	8988
291	12530	8925
292	12579	8887
293	12629	8849
294	12680	8811
295	12730	8773
296	12739	8707
297	12747	8640
298	12798	8603
299	12849	8566
300	12857	8500
301	12907	8462
302	12959	8425
303	13010	8388
304	13047	8341
305	13084	8295
306	13094	8232
307	13102	8167
308	13151	8129
309	13172	8073
310	13180	8009
311	13188	7947
312	13225	7901
313	13275	7863
314	13282	7800
315	13304	7746
316	13355	7709
317	13367	7650
318	13391	7598
319	13399	7537
320	13413	7479
321	13423	7420
322	13432	7360
323	13446	7304
324	13496	7267
325	13505	7208
326	13526	7156
327	13537	7098
328	13545	7040
329	13567	6989
330	13573	6930
331	13594	6879
332	13643	6842
333	13651	6784
334	13673	6734
335	13724	6698
336	13746	6648
337	13796	6612
338	13804	6556
339	13812	6499
340	13826	6446
341	13834	6391
342	13845	6337
343	13860	6285
344	13870	6231
345	13891	6182
346	13899	6128
347	13907	6074
348	13914	6020
349	13964	5984
350	13973	5931
351	13980	5878
352	13987	5824
353	13997	5772
354	14005	5720
355	14015	5669
356	14023	5617
357	14034	5566
358	14041	5514
359	14048	5463
360	14055	5411
361	14062	5360
362	14071	5310
363	14077	5259
364	14127	5225
365	14142	5177
366	14193	5143
367	14209	5096
368	14262	5063
369	14319	5031
370	14346	4988
371	14404	4956
372	14461	4923
373	14519	4891
374	14575	4858
375	14591	4812
376	14599	4763
377	14609	4715
378	14617	4666
379	14667	4631
380	14718	4596
381	14729	4549
382	14747	4505
383	14760	4458
384	14816	4425
385	14873	4392
386	14886	4346
387	14943	4313
388	14998	4279
389	15025	4237
390	15092	4207
391	15148	4173
392	15161	4128
393	15217	4094
394	15272	4059
395	15312	4021
396	15364	3986
397	15389	3943
398	15440	3908
399	15455	3863
400	15465	3818
401	15472	3771
402	15523	3736
403	15534	3691
404	15573	3653
405	15584	3608
406	15606	3566
407	15625	3523
408	15644	3480
409	15698	3446
410	15720	3404
411	15770	3368
412	15820	3332
413	15844	3291
414	15895	3255
415	15937	3218
416	15951	3175
417	15976	3134
418	16029	3098
419	16041	3055
420	16094	3020
421	16117	2979
422	16155	2940
423	16206	2904
424	16256	2868
425	16293	2830
426	16343	2794
427	16358	2751
428	16369	2709
429	16390	2668
430	16441	2632
431	16452	2589
432	16503	2553
433	16518	2512
434	16541	2471
435	16608	2437
436	16626	2397
437	16645	2356
438	16699	2320
439	16708	2278
440	16730	2238
441	16740	2196
442	16748	2155
443	16758	2113
444	16769	2072
445	16779	2031
446	16790	1990
447	16799	1949
448	16808	1909
449	16858	1873
450	16908	1837
451	16958	1800
452	16973	1761
453	16983	1720
454	17032	1684
455	17041	1644
456	17048	1604
457	17058	1564
458	17073	1525
459	17094	1486
460	17143	1450
461	17150	1410
462	17162	1371
463	17169	1332
464	17178	1293
465	17185	1253
466	17236	1218
467	17244	1179
468	17258	1140
469	17268	1102
470	17291	1064
471	17300	1026
472	17314	988
473	17323	950
474	17332	912
475	17346	874
476	17355	836
477	17363	799
478	17371	761
479	17379	724
480	17387	686
481	17410	650
482	17461	614
483	17512	578
484	17549	542
485	17557	505
486	17578	469
487	17602	432
488	17613	396
489	17628	359
490	17678	324
491	17700	287
492	17749	252
493	17760	215
494	17770	179
495	17820	143
496	17871	107
497	17893	71
498	17901	35
499	17951	0
