iter	RMSE
152	24.10357206
153	24.08064299
154	24.08045983
155	24.07814033
156	24.07810101
157	24.07798307
158	24.07779006
159	24.07775968
160	24.07774538
161	24.06594229
162	24.06592173
163	24.05347421
164	24.04608133
165	24.03374528
166	24.0336862
167	24.01790783
168	24.01788723
169	24.01786932
170	24.00237277
171	24.00206711
172	23.99136839
173	23.99128858
174	23.98262334
175	23.98191283
176	23.98188591
177	23.98184465
178	23.98171097
179	23.98141402
180	23.98140416
181	23.98135122
182	23.977399
183	23.97737836
184	23.96707078
185	23.96702769
186	23.95915288
187	23.94687088
188	23.93980547
189	23.93019647
190	23.92228435
191	23.90995731
192	23.89646702
193	23.88304478
194	23.87652817
195	23.87634525
196	23.86569024
197	23.85887311
198	23.84935149
199	23.84916565
200	23.84913949
201	23.83746689
202	23.82717193
203	23.82715297
204	23.81123233
205	23.79454243
206	23.77971915
207	23.77371449
208	23.77357151
209	23.76790565
210	23.76775086
211	23.76717062
212	23.76666912
213	23.76654601
214	23.76650437
215	23.76063038
216	23.74328513
217	23.73668211
218	23.71727839
219	23.7172666
220	23.71724936
221	23.71204368
222	23.71191484
223	23.71190758
224	23.6953611
225	23.69535474
226	23.68541858
227	23.67805618
228	23.65945918
229	23.65230973
230	23.65230154
231	23.646179
232	23.64617354
233	23.64616444
234	23.64614352
235	23.64601796
236	23.64443201
237	23.64442109
238	23.63870699
239	23.63520632
240	23.62353821
241	23.6233333
242	23.6232404
243	23.62317483
244	23.62312018
245	23.62311654
246	23.6230965
247	23.62305188
248	23.62203911
249	23.62171031
250	23.62170576
251	23.61338414
252	23.60698721
253	23.59634734
254	23.59633913
255	23.59633001
256	23.58409442
257	23.58408712
258	23.58405154
259	23.57912303
260	23.57692668
261	23.57692303
262	23.57411227
263	23.57407668
264	23.57407029
265	23.57406116
266	23.57406025
267	23.56786717
268	23.56380268
269	23.56367394
270	23.56366481
271	23.56093283
272	23.56072555
273	23.55814117
274	23.55813569
275	23.55809094
276	23.54572674
277	23.54571304
278	23.54290221
279	23.54289673
280	23.54289124
281	23.53529594
282	23.53161165
283	23.53159977
284	23.52670965
285	23.526706
286	23.52178834
287	23.52178102
288	23.52178011
289	23.52176639
290	23.51767106
291	23.51765734
292	23.51506914
293	23.51505999
294	23.50700906
295	23.49934265
296	23.49933899
297	23.49933441
298	23.49932617
299	23.47916002
300	23.47915727
301	23.47320496
302	23.47319121
303	23.4655
304	23.46547891
305	23.46547066
306	23.46546883
307	23.46546424
308	23.46272816
309	23.46270524
310	23.46270157
311	23.46268873
312	23.4626438
313	23.45995233
314	23.45994774
315	23.45993949
316	23.45990556
317	23.45989822
318	23.45988721
319	23.45988538
320	23.45987804
321	23.45987254
322	23.45987346
323	23.45986796
324	23.45985695
325	23.45985053
326	23.45984686
327	23.45984319
328	23.45983769
329	23.45983494
330	23.45983311
331	23.45983127
332	23.4582896
333	23.45828869
334	23.4582841
335	23.45824558
336	23.45823916
337	23.45823549
338	23.45823549
339	23.45823457
340	23.45823274
341	23.45823182
342	23.45823182
343	23.45823182
344	23.45823091
345	23.45822632
346	23.45822724
347	23.45822632
348	23.4582254
349	23.45396028
350	23.45395661
351	23.45395753
352	23.45395753
353	23.45393827
354	23.45393552
355	23.45393368
356	23.45393368
357	23.4539346
358	23.45393368
359	23.45393093
360	23.45393185
361	23.4539291
362	23.4539291
363	23.45392726
364	23.44863009
365	23.44863101
366	23.43884268
367	23.43882156
368	23.43880596
369	23.43878118
370	23.4387775
371	23.42977937
372	23.42187732
373	23.41367581
374	23.39535698
375	23.39535514
376	23.3953533
377	23.39533123
378	23.39532847
379	23.38881855
380	23.38599254
381	23.38598058
382	23.38596954
383	23.38595942
384	23.38171609
385	23.38169584
386	23.38169492
387	23.38163879
388	23.38163235
389	23.38161763
390	23.38160935
391	23.38159739
392	23.38159555
393	23.37699525
394	23.37534412
395	23.37533951
396	23.36621658
397	23.36620922
398	23.35792921
399	23.35791816
400	23.35791724
401	23.3579154
402	23.35789513
403	23.35789329
404	23.35787026
405	23.3578675
406	23.35786658
407	23.3578629
408	23.3578629
409	23.35338138
410	23.35336848
411	23.35335466
412	23.35159498
413	23.35133147
414	23.35128448
415	23.35126514
416	23.35125592
417	23.35124763
418	23.34634186
419	23.34634186
420	23.33983394
421	23.33983487
422	23.33978878
423	23.33948458
424	23.33947075
425	23.33947075
426	23.33149571
427	23.33149571
428	23.3314911
429	23.33148556
430	23.32860097
431	23.32860189
432	23.32504453
433	23.32501224
434	23.3250104
435	23.31988876
436	23.31987769
437	23.31987584
438	23.31987031
439	23.31961844
440	23.31961567
441	23.31961014
442	23.31961198
443	23.31961198
444	23.31961198
445	23.31961475
446	23.31961106
447	23.31961014
448	23.31960829
449	23.31697228
450	23.31256596
451	23.311057
452	23.31105516
453	23.3110487
454	23.30933751
455	23.30933751
456	23.30933659
457	23.30933197
458	23.30932182
459	23.30911137
460	23.30909568
461	23.30909476
462	23.30909014
463	23.30909014
464	23.30908645
465	23.3090883
466	23.30764097
467	23.30764097
468	23.3076382
469	23.30763912
470	23.30763358
471	23.30763358
472	23.30763266
473	23.30763081
474	23.30762989
475	23.3076225
476	23.30762066
477	23.30762066
478	23.30762066
479	23.30762066
480	23.30762066
481	23.30761881
482	23.30760773
483	23.29875193
484	23.29874362
485	23.29874455
486	23.29874455
487	23.2987427
488	23.29874085
489	23.29874085
490	23.29874085
491	23.29869006
492	23.2954717
493	23.29546062
494	23.29546062
495	23.29523435
496	23.29360327
497	23.29360235
498	23.29359773
499	23.29359311
