iter	RMSE
0	44.17390722
1	42.0633814
2	40.1823597
3	38.59081205
4	37.2254505
5	36.01422075
6	34.99513121
7	34.05667293
8	33.25820852
9	32.55238067
10	31.94651969
11	31.4046449
12	30.94874309
13	30.54257067
14	30.17981253
15	29.8343649
16	29.50789153
17	29.22523666
18	28.97102832
19	28.76616809
20	28.54483444
21	28.34697269
22	28.18727939
23	28.03708817
24	27.8832765
25	27.72487466
26	27.61132373
27	27.47165023
28	27.3659886
29	27.25809264
30	27.11191664
31	27.01733045
32	26.87886705
33	26.79735261
34	26.72290398
35	26.64418606
36	26.53115192
37	26.46855862
38	26.4161014
39	26.35727241
40	26.281068
41	26.22965895
42	26.18255289
43	26.13289962
44	26.08471981
45	25.99266579
46	25.94416419
47	25.87628118
48	25.8134093
49	25.78083185
50	25.71432408
51	25.67400974
52	25.63584853
53	25.57698884
54	25.54897427
55	25.50499344
56	25.47424368
57	25.45142601
58	25.39767106
59	25.35727243
60	25.30343905
61	25.29093026
62	25.25421609
63	25.22027058
64	25.2028005
65	25.17069523
66	25.15765608
67	25.14535284
68	25.13699727
69	25.11673092
70	25.07677711
71	25.06705723
72	25.04474395
73	25.00364001
74	24.98869021
75	24.96605182
76	24.95778105
77	24.95025343
78	24.94183854
79	24.89716198
80	24.88500143
81	24.8399091
82	24.82889207
83	24.78490428
84	24.76764918
85	24.73915642
86	24.69365141
87	24.68955963
88	24.67352752
89	24.66649319
90	24.63610025
91	24.61570207
92	24.60124502
93	24.59271771
94	24.59160664
95	24.59101346
96	24.55742594
97	24.53689484
98	24.53686853
99	24.53638276
100	24.53428614
101	24.5069241
102	24.50647988
103	24.50615153
104	24.48407927
105	24.48369175
106	24.47709949
107	24.47679712
108	24.47578803
109	24.47505228
110	24.47481758
111	24.47459078
112	24.47186027
113	24.46861332
114	24.46643438
115	24.45083936
116	24.44559364
117	24.41819741
118	24.41805468
119	24.40792879
120	24.37885765
121	24.35849225
122	24.33515179
123	24.33507753
124	24.33491751
125	24.31154026
126	24.28931595
127	24.28044782
128	24.28032022
129	24.28017933
130	24.28004021
131	24.27988958
132	24.27468313
133	24.26266992
134	24.25787485
135	24.24381675
136	24.22504572
137	24.22462919
138	24.22105331
139	24.21344327
140	24.19194792
141	24.19168824
142	24.1913903
143	24.19135651
144	24.17543899
145	24.16290453
146	24.15544628
147	24.13900686
148	24.13871006
149	24.13866015
150	24.13803535
151	24.11978944
